mode,m_norm,beta_norm,power,t_hh,t_lh,t_hc,t_lc,hourly_profit,eff_com,eff_exp,mass_norm,vio_choke,vio_surge,vio_beta,day,date,hour,global_hour,hour_of_day
idle,0.0,0.0,0.0,1009.9263616160866,765.5864207223002,309.55818179578415,240.00057289772533,0.0,,,0.0,0,0,0,4,Day_4,94,94,22
idle,0.0,0.0,0.0,1009.8551839799251,765.539677080228,309.5570409776046,240.00638784043556,0.0,,,0.0,0,0,0,4,Day_4,95,95,23
idle,0.0,0.0,0.0,1009.784013461527,765.4929381125199,309.5559002735068,240.01220220165155,0.0,,,0.0,0,0,0,5,Day_5,96,96,0
idle,0.0,0.0,0.0,1009.7128500601808,765.4462038187087,309.5547596834794,240.0180159814314,0.0,,,0.0,0,0,0,5,Day_5,97,97,1
idle,0.0,0.0,0.0,1009.6416937751748,765.3994741983269,309.553619207511,240.02382917983329,0.0,,,0.0,0,0,0,5,Day_5,98,98,2
idle,0.0,0.0,0.0,1009.5705446057972,765.352749250907,309.55247884559026,240.0296417969153,0.0,,,0.0,0,0,0,5,Day_5,99,99,3
idle,0.0,0.0,0.0,1009.4994025513366,765.3060289759819,309.5513385977057,240.03545383273564,0.0,,,0.0,0,0,0,5,Day_5,100,100,4
idle,0.0,0.0,0.0,1009.4282676110815,765.2593133730843,309.5501984638459,240.0412652873524,0.0,,,0.0,0,0,0,5,Day_5,101,101,5
idle,0.0,0.0,0.0,1009.3571397843205,765.212602441747,309.5490584439995,240.04707616082368,0.0,,,0.0,0,0,0,5,Day_5,102,102,6
char,1.0,1.003584766488865,-329.7058575883709,1010.5621430411323,765.1658961815028,309.5479185381551,239.9003350284529,-9431.097579855163,0.8699814293583881,0.9299766238111388,1.0,0,0,0,5,Day_5,103,103,7
char,1.0,1.0036367532207389,-329.71457236626196,1010.5083798651866,765.1191945918847,309.5467787463013,239.90096858097442,-9027.281653981676,0.8699808916059251,0.9299759450098155,2.0,0,0,0,5,Day_5,104,104,8
char,1.0,1.0036887398424765,-329.7232891639564,1010.4546218680296,765.0724976724255,309.5456390684267,239.90160241959973,-9012.81135595349,0.869980346280425,0.9299752566166739,3.0,0,0,0,5,Day_5,105,105,9
char,1.0,1.003740726350999,-329.73200797790616,1010.4008690486372,765.0258054226582,309.5444995045198,239.90223654430847,-9118.94641179402,0.8699797933863939,0.9299745586370378,4.0,0,0,0,5,Day_5,106,106,10
char,1.0,1.0037927127417212,-329.74072880346273,1010.3471214058324,764.9791178421159,309.54336005456935,239.90287095510436,-9314.654598346313,0.8699792329285034,0.9299738510763441,5.0,0,0,0,5,Day_5,107,107,11
char,1.0,1.0038446990115004,-329.74945163701517,1010.2933789385335,764.9324349303316,309.5422207185639,239.9035056519756,-9832.544991286395,0.8699786649112969,0.9299731339399401,6.0,0,0,0,5,Day_5,108,108,12
idle,0.0,0.0,0.0,1010.2221646006396,764.8857566868386,309.54108149649204,239.90933030141042,0.0,,,6.0,0,0,0,5,Day_5,109,109,13
idle,0.0,0.0,0.0,1010.1509573841796,764.8390831111699,309.53994238834235,239.91515436838029,0.0,,,6.0,0,0,0,5,Day_5,110,110,14
idle,0.0,0.0,0.0,1010.0797572884412,764.7924142028587,309.5388033941035,239.92097785294345,0.0,,,6.0,0,0,0,5,Day_5,111,111,15
dis,1.0,1.000561380857573,229.9955672669588,1010.0085643127123,765.0724344850516,309.5517297376198,239.92680075515818,10980.533470819037,0.8699916415784654,0.9299988908644562,5.0,0,0,0,5,Day_5,112,112,16
dis,1.0,1.0005293826201156,229.958319475966,1009.9373784562811,765.2125945763828,309.55877519842153,239.9326230750827,13309.217170898666,0.8699915332761685,0.9299989133740393,4.0,0,0,0,5,Day_5,113,113,17
dis,1.0,1.000497386139044,229.92107525954083,1009.8661997184354,765.2869949956229,309.5630555008186,239.9384448127752,16356.98765584544,0.8699914241712796,0.9299989320297447,3.0,0,0,0,5,Day_5,114,114,18
dis,1.0,1.0004653914193506,229.8838346183604,1009.7950280984635,765.3252482025556,309.56581576784384,239.94426596829393,13395.636788711903,0.869991314264045,0.9299989468311848,2.0,0,0,0,5,Day_5,115,115,19
dis,1.0,1.0004333984579092,229.84659755167047,1009.7238635956536,765.3415082939711,309.56765114059823,239.95008654169712,11795.826220388677,0.869991203555201,0.9299989577780319,1.0,0,0,0,5,Day_5,116,116,20
dis,1.0,1.0004014072550886,229.80936405933235,1009.652706209294,765.2947891431417,309.56650937548415,239.95590653304296,11385.318928441271,0.8699910920452733,0.9299989648699307,0.0,0,0,0,5,Day_5,117,117,21
idle,0.0,0.0,0.0,1009.5815559386731,765.2480746642274,309.5653677245466,239.96172594238968,0.0,,,0.0,0,0,0,5,Day_5,118,118,22
idle,0.0,0.0,0.0,1009.5104127830792,765.201364856761,309.5642261877741,239.96754476979547,0.0,,,0.0,0,0,0,5,Day_5,119,119,23
idle,0.0,0.0,0.0,1009.4392767418009,765.1546597202753,309.56308476515534,239.9733630153185,0.0,,,0.0,0,0,0,6,Day_6,120,120,0
idle,0.0,0.0,0.0,1009.3681478141267,765.1079592543033,309.5619434566788,239.979180679017,0.0,,,0.0,0,0,0,6,Day_6,121,121,1
idle,0.0,0.0,0.0,1009.2970259993452,765.0612634583779,309.56080226233314,239.9849977609491,0.0,,,0.0,0,0,0,6,Day_6,122,122,2
idle,0.0,0.0,0.0,1009.2259112967453,765.014572332032,309.5596611821069,239.99081426117303,0.0,,,0.0,0,0,0,6,Day_6,123,123,3
idle,0.0,0.0,0.0,1009.1548037056156,764.9678858747988,309.55852021598866,239.99663017974692,0.0,,,0.0,0,0,0,6,Day_6,124,124,4
idle,0.0,0.0,0.0,1009.083703225245,764.9212040862112,309.5573793639671,240.00244551672895,0.0,,,0.0,0,0,0,6,Day_6,125,125,5
char,1.0,1.0039096001183736,-329.7602027636419,1010.336380718662,764.8745269658026,309.5562386260307,239.87334357871867,-9000.906960096463,0.8699779799786013,0.9299722252518944,1.0,0,0,0,6,Day_6,126,126,6
char,1.0,1.0039615862194384,-329.7689299549939,1010.2826436791191,764.827854513106,309.55509800216805,239.8739814692215,-6619.867239838335,0.8699773954314222,0.9299714866034596,2.0,0,0,0,6,Day_6,127,127,7
char,1.0,1.0040135721868109,-329.7776591408499,1010.2289118106029,764.7811867276547,309.55395749236783,239.87461964566862,-6859.134572438505,0.8699768033397334,0.9299707383968834,3.0,0,0,0,6,Day_6,128,128,8
char,1.0,1.0040655580164812,-329.78639031692836,1010.1751851119651,764.7345236089819,309.5528170966186,239.87525810805712,-7564.927135249279,0.8699762037082365,0.9299699806376189,4.0,0,0,0,6,Day_6,129,129,9
char,1.0,1.0041175437048644,-329.79512347924805,1010.1214635820998,764.687865156621,309.5516768149089,239.87589685637698,-7936.671352284905,0.8699755965416027,0.9299692133310969,5.0,0,0,0,6,Day_6,130,130,10
char,1.0,1.0041695292473016,-329.80385862303416,1010.067747219816,764.6412113701053,309.5505366472274,239.8765358906312,-8469.26414828193,0.8699749818446386,0.9299684364828422,6.0,0,0,0,6,Day_6,131,131,11
char,1.0,1.0042215146397078,-329.81259574391885,1010.0140360239404,764.5945622489684,309.5493965935626,239.87717521081981,-8424.89125572862,0.8699743596221071,0.9299676500983471,7.0,0,0,0,6,Day_6,132,132,12
idle,0.0,0.0,0.0,1009.942849620338,764.5479177927434,309.54825665390325,239.88300249329876,0.0,,,7.0,0,0,0,6,Day_6,133,133,13
idle,0.0,0.0,0.0,1009.871670335376,764.5012780009641,309.54711682823785,239.88882919304945,0.0,,,7.0,0,0,0,6,Day_6,134,134,14
idle,0.0,0.0,0.0,1009.8004981683425,764.4546428731641,309.54597711655504,239.89465531013016,0.0,,,7.0,0,0,0,6,Day_6,135,135,15
dis,1.0,1.0006099250071796,229.91407917136715,1009.7293331185257,764.9006053883386,309.5586224737941,239.90048084459917,9079.044884427034,0.8699900921968498,0.9299986866995265,6.0,0,0,0,6,Day_6,136,136,16
dis,1.0,1.000577902290283,229.87683683087806,1009.6581751852138,765.0779156199735,309.5639350635219,239.90630579651472,10895.752885014062,0.8699899745854702,0.9299987110739542,5.0,0,0,0,6,Day_6,137,137,17
dis,1.0,1.0005458813469252,229.83959806756923,1009.5870243676953,765.1594356806909,309.56663304751123,239.91213016593508,13669.88017637125,0.8699898561760613,0.9299987315912186,4.0,0,0,0,6,Day_6,138,138,18
dis,1.0,1.0005138621745786,229.80236288079655,1009.5158806652586,765.1959177680438,309.5681016748174,239.9179539529185,11997.567721753201,0.8699897369693301,0.929998748250998,3.0,0,0,0,6,Day_6,139,139,19
