Date,Time,LMP ($/MWh),SRP ($/MWh)
01/25/2024,10,40.02879,0.5
01/25/2024,11,27.77496,0.35
01/25/2024,12,22.28974,0.35
01/25/2024,13,18.4398,0.35
01/25/2024,14,14.75779,0.35
01/25/2024,15,17.35303,0.35
01/25/2024,16,30.65928,0.35
01/25/2024,17,54.3646,1.0984
01/25/2024,18,61.28517,2
01/25/2024,19,61.02817,1.49245
01/25/2024,20,60.91201,1.17315
01/25/2024,21,60.60062,1.27631
01/25/2024,22,60.17953,1.46
01/25/2024,23,54.79,0.5
01/25/2024,24,49.43136,0.5
01/26/2024,1,52.13736,0.84
01/26/2024,2,52.3762,0.35
01/26/2024,3,51.9296,0.35
01/26/2024,4,52.15006,0.35
01/26/2024,5,52.9122,0.35
01/26/2024,6,58.4047,0.45
01/26/2024,7,69.56393,1
01/26/2024,8,65.96222,1
01/26/2024,9,49.54564,0.35
01/26/2024,10,38.82937,0.35
01/26/2024,11,35.90094,0.35
01/26/2024,12,31.81487,0.35
01/26/2024,13,31.55722,0.21624
01/26/2024,14,29.28051,0.35
01/26/2024,15,31.34362,0.35
01/26/2024,16,43.31103,0.35
01/26/2024,17,63.88927,0.45
01/26/2024,18,65.71611,1
01/26/2024,19,65.85462,1
01/26/2024,20,65.41991,1
01/26/2024,21,63.79469,0.9
01/26/2024,22,63.06523,0.57
01/26/2024,23,59.38126,0.45
01/26/2024,24,54.6499,0.45
01/27/2024,1,47.45465,0.35
01/27/2024,2,47.59939,0.35
01/27/2024,3,47.52175,0.25007
01/27/2024,4,43.19893,0.27324
01/27/2024,5,43.7789,0.33697
01/27/2024,6,47.13819,0.35
01/27/2024,7,49.50668,0.35
01/27/2024,8,47.43612,0.35
01/27/2024,9,40.3542,0.35
01/27/2024,10,28.7269,0.35
01/27/2024,11,24.07778,0.35
01/27/2024,12,21.9482,0.35
01/27/2024,13,20.27266,0.14
01/27/2024,14,19.04297,0.15
01/27/2024,15,22.20211,0.35
01/27/2024,16,30.00736,0.35
01/27/2024,17,55.8644,0.35
01/27/2024,18,58.07483,1.44
01/27/2024,19,58.03994,1
01/27/2024,20,57.60265,1
01/27/2024,21,56.68179,1
01/27/2024,22,56.56643,0.85
01/27/2024,23,54.33452,0.45
01/27/2024,24,47.71686,0.66298
01/28/2024,1,44.72689,0.35
01/28/2024,2,43.8905,0.35
01/28/2024,3,43.28608,0.35
01/28/2024,4,43.14447,0.35
01/28/2024,5,42.17479,0.17941
01/28/2024,6,43.93708,0.35
01/28/2024,7,44.12041,0.35
01/28/2024,8,43.90747,0.35
01/28/2024,9,34.93557,0.35
01/28/2024,10,23.50725,0.35
01/28/2024,11,9.7896,0.35
01/28/2024,12,5.64751,0.35
01/28/2024,13,2.78128,0.35
01/28/2024,14,4.96867,0.34
01/28/2024,15,10.7669,0.35
01/28/2024,16,33.3789,0.35
01/28/2024,17,51.17515,0.45
01/28/2024,18,54.79967,1
01/28/2024,19,55.41889,1.5
01/28/2024,20,54.50863,1
01/28/2024,21,54.21859,0.78984
01/28/2024,22,53.67594,0.37
01/28/2024,23,51.82379,0.5
01/28/2024,24,49.06031,0.35
01/29/2024,1,44.56213,0.35
01/29/2024,2,43.25418,0.35
01/29/2024,3,42.43842,0.82518
01/29/2024,4,42.72659,0.35
01/29/2024,5,44.82503,0.35
01/29/2024,6,49.50324,0.35
01/29/2024,7,60.41055,0.35
01/29/2024,8,51.29519,0.35
01/29/2024,9,41.85287,0.45
01/29/2024,10,22.36221,0.35
01/29/2024,11,14.96623,1.5
01/29/2024,12,11.50027,1
01/29/2024,13,9.33099,1.5
01/29/2024,14,5.41584,1.5
01/29/2024,15,10.98042,0.35
01/29/2024,16,34.31839,0.35
01/29/2024,17,58.26623,1.305
01/29/2024,18,61.51886,1.78
01/29/2024,19,61.8908,2.04671
01/29/2024,20,61.58077,4.4438
01/29/2024,21,60.99178,1
01/29/2024,22,60.46618,0.86
01/29/2024,23,59.08114,0.83472
01/29/2024,24,50.39191,0.45
01/30/2024,1,39.48685,0.35
01/30/2024,2,38.62574,0.35
01/30/2024,3,37.55964,0.35
01/30/2024,4,37.60657,0.35
01/30/2024,5,38.81236,0.35
01/30/2024,6,43.58381,0.45
01/30/2024,7,55.72736,0.96
01/30/2024,8,51.01258,2.8
01/30/2024,9,33.79537,1.5
01/30/2024,10,8.0933,1.15062
01/30/2024,11,4.36494,0.94626
01/30/2024,12,0.05382,0.35
01/30/2024,13,1.50121,0.35
01/30/2024,14,1.51956,0.35
01/30/2024,15,4.06272,0.35
01/30/2024,16,32.95088,0.35
01/30/2024,17,50.09053,0.45
01/30/2024,18,56.23648,3.77065
01/30/2024,19,54.71632,1
01/30/2024,20,52.71595,1
01/30/2024,21,52.23604,1
01/30/2024,22,52.03854,1
01/30/2024,23,46.2913,1.5
01/30/2024,24,46.00138,0.45
01/31/2024,1,43.26662,0.63
01/31/2024,2,42.57581,0.79671
01/31/2024,3,41.28315,0.82163
01/31/2024,4,40.64601,0.35
01/31/2024,5,41.7783,0.35
01/31/2024,6,44.00952,0.45
01/31/2024,7,52.8569,0.45
01/31/2024,8,50.85394,0.45
01/31/2024,9,39.80841,1.5
01/31/2024,10,33.79271,1
01/31/2024,11,30.96659,0.35
01/31/2024,12,29.96928,0.35
01/31/2024,13,29.21353,0.35
01/31/2024,14,29.96312,1
01/31/2024,15,32.02672,0.35
01/31/2024,16,40.73865,0.35
01/31/2024,17,47.78561,0.45
01/31/2024,18,51.95226,2.52
01/31/2024,19,49.56675,1
01/31/2024,20,48.11518,1
01/31/2024,21,46.20517,1
01/31/2024,22,45.40176,0.52
01/31/2024,23,40.80117,0.45
01/31/2024,24,40.54186,0.35
02/01/2024,1,38.72886,0.25
02/01/2024,2,36.74049,0.25
02/01/2024,3,36.79739,0.14
02/01/2024,4,36.76513,0.14
02/01/2024,5,37.2211,0.25
02/01/2024,6,41.15993,0.28
02/01/2024,7,50.01934,0.87601
02/01/2024,8,51.95074,0.78122
02/01/2024,9,51.55183,1.16956
02/01/2024,10,52.98429,0.45
02/01/2024,11,50.22043,0.51096
02/01/2024,12,42.86,0.45
02/01/2024,13,41.88514,0.35
02/01/2024,14,39.97332,0.35
02/01/2024,15,39.8795,0.35
02/01/2024,16,44.94513,0.35
02/01/2024,17,52.87492,0.45
02/01/2024,18,57.46514,1
02/01/2024,19,55.33707,1
02/01/2024,20,53.70426,1.28
02/01/2024,21,52.8643,1
02/01/2024,22,51.77483,1
02/01/2024,23,46.59244,1
02/01/2024,24,41.89017,0.35
02/02/2024,1,40.89668,0.35
02/02/2024,2,38.50525,0.2297
02/02/2024,3,38.18472,0.17002
02/02/2024,4,37.09669,0.14
02/02/2024,5,38.2065,0.35
02/02/2024,6,46.12784,0.88248
02/02/2024,7,52.9308,0.4
02/02/2024,8,50.88338,0.35
02/02/2024,9,39.65001,0.45
02/02/2024,10,27.27459,0.45
