Date,Time,LMP ($/MWh),SRP ($/MWh),hour_idx,day_idx
09/25/2024,11,13.22789,0.14,6441,268
09/25/2024,12,11.5598,0.14,6442,268
09/25/2024,13,12.5,0.14,6443,268
09/25/2024,14,12.11535,0.14,6444,268
09/25/2024,15,13.58108,0.14,6445,268
09/25/2024,16,18.86511,0.14,6446,268
09/25/2024,17,27.77372,1.0,6447,268
09/25/2024,18,43.75492,0.75,6448,268
09/25/2024,19,52.42392,1.0,6449,268
09/25/2024,20,47.47208,1.0,6450,268
09/25/2024,21,44.42749,0.98016,6451,268
09/25/2024,22,42.78737,0.75,6452,268
09/25/2024,23,42.06385,0.75,6453,268
09/25/2024,24,38.92005,0.75,6454,268
09/26/2024,1,41.48422,0.62698,6455,268
09/26/2024,2,38.62506,0.45,6456,269
09/26/2024,3,38.43288,0.14,6457,269
09/26/2024,4,38.15066,0.14,6458,269
09/26/2024,5,38.85,0.14,6459,269
09/26/2024,6,45.04879,0.39841,6460,269
09/26/2024,7,45.45737,0.58405,6461,269
09/26/2024,8,38.92035,0.5,6462,269
09/26/2024,9,21.37183,0.59329,6463,269
09/26/2024,10,17.30597,0.14,6464,269
09/26/2024,11,16.77396,0.14,6465,269
09/26/2024,12,14.35352,0.14,6466,269
09/26/2024,13,14.1166,0.14,6467,269
09/26/2024,14,17.3244,0.14,6468,269
09/26/2024,15,20.24162,0.14,6469,269
09/26/2024,16,24.38248,0.14,6470,269
09/26/2024,17,34.85969,0.14,6471,269
09/26/2024,18,46.15581,0.75,6472,269
09/26/2024,19,61.33756,9.95,6473,269
09/26/2024,20,51.45956,1.0,6474,269
09/26/2024,21,46.60807,0.60302,6475,269
09/26/2024,22,45.59561,0.36916,6476,269
09/26/2024,23,45.4592,0.5,6477,269
09/26/2024,24,44.4196,0.5,6478,269
09/27/2024,1,36.81428,0.45,6479,269
09/27/2024,2,36.4321,0.14,6480,270
09/27/2024,3,36.65373,0.14,6481,270
09/27/2024,4,36.682,0.14,6482,270
09/27/2024,5,36.7926,0.14,6483,270
09/27/2024,6,41.33242,0.14,6484,270
09/27/2024,7,43.31458,0.5,6485,270
09/27/2024,8,40.17135,0.5,6486,270
09/27/2024,9,21.51858,0.5,6487,270
09/27/2024,10,21.00121,0.14,6488,270
09/27/2024,11,19.03402,0.14,6489,270
09/27/2024,12,17.4739,0.14,6490,270
09/27/2024,13,18.10248,0.14,6491,270
09/27/2024,14,18.89278,0.14,6492,270
09/27/2024,15,20.0125,0.14,6493,270
09/27/2024,16,32.14283,0.14,6494,270
09/27/2024,17,39.21483,0.14,6495,270
09/27/2024,18,52.18068,0.75,6496,270
09/27/2024,19,64.28304,1.0,6497,270
09/27/2024,20,56.63741,1.0,6498,270
09/27/2024,21,50.73714,0.75,6499,270
09/27/2024,22,48.52402,0.75,6500,270
09/27/2024,23,45.54852,0.5,6501,270
09/27/2024,24,42.1803,0.5,6502,270
09/28/2024,1,42.64521,0.75,6503,270
09/28/2024,2,41.67687,0.45,6504,271
09/28/2024,3,41.1937,0.45,6505,271
09/28/2024,4,40.46768,0.16786,6506,271
09/28/2024,5,40.252,0.14,6507,271
09/28/2024,6,41.07161,0.45,6508,271
09/28/2024,7,40.90217,0.5,6509,271
09/28/2024,8,33.68567,0.5,6510,271
09/28/2024,9,13.20461,0.45,6511,271
09/28/2024,10,7.92318,0.14,6512,271
09/28/2024,11,12.80913,0.14,6513,271
09/28/2024,12,11.89903,0.14,6514,271
09/28/2024,13,12.92287,0.14,6515,271
09/28/2024,14,14.16007,0.14,6516,271
09/28/2024,15,15.01269,0.14,6517,271
09/28/2024,16,22.0121,0.14,6518,271
09/28/2024,17,33.33689,0.14,6519,271
09/28/2024,18,44.05982,0.61279,6520,271
09/28/2024,19,56.81667,7.02377,6521,271
